date,ticker,predicted_return,actual_return
2023-09-14,ECO.zw,0.04384393,0.1493658994833255
2023-09-14,OKZ.zw,0.0402569,0.1501838986514101
2023-09-14,SEED.zw,0.0609277,0.1499378219932494
2023-09-15,AFDIS.zw,0.043067086,0.150007724393635
2023-09-15,BAT.zw,0.03731621,0.1499193981730249
2023-09-15,CAFCA.zw,0.024695441,0.1220794392523363
2023-09-15,CBZ.zw,0.027301028,0.1500260281103593
2023-09-15,DLTA.zw,0.026450615,0.1231214919427845
2023-09-15,DZL.zw,0.02859271,0.1500080606158309
2023-09-15,ECO.zw,0.02818571,-0.0182238732739888
2023-09-15,OKZ.zw,0.018084837,0.0
2023-09-15,SEED.zw,0.008115733,-0.0157064324980366
2023-09-18,AFDIS.zw,0.004686257,0.0
2023-09-18,BAT.zw,0.0060798884,0.0
2023-09-18,CAFCA.zw,0.003030757,0.0
2023-09-18,CBZ.zw,0.0027635295,0.0
2023-09-18,DLTA.zw,0.0027741236,-0.1499963733952274
2023-09-18,DZL.zw,0.0029846085,-0.1462582131581192
2023-09-18,ECO.zw,0.00286019,-0.0052973513243378
2023-09-18,OKZ.zw,0.002973594,-0.1499196141479101
2023-09-18,SEED.zw,0.0038299104,-0.1499999999999998
2023-09-19,AFDIS.zw,0.0034465333,-0.1500486719510501
2023-09-19,BAT.zw,0.0035183195,-0.149869109947644
2023-09-19,CAFCA.zw,0.0035219565,-0.1501154734411086
2023-09-19,CBZ.zw,0.0035110218,-0.149909420289855
2023-09-19,DLTA.zw,0.0031901177,0.0
2023-09-19,DZL.zw,0.0031355042,-0.0085242408098027
2023-09-19,ECO.zw,0.002852049,0.0085975282106391
2023-09-19,OKZ.zw,0.0030650678,-0.0338305807139049
2023-09-19,SEED.zw,0.0031179725,0.0
2023-09-20,AFDIS.zw,0.003220188,0.0
2023-09-20,BAT.zw,0.0032588476,0.0
2023-09-20,CAFCA.zw,0.0027657482,-0.0068927488282327
2023-09-20,CBZ.zw,0.0029076645,-0.0999444752915048
2023-09-20,DLTA.zw,0.002527045,0.0
2023-09-20,DZL.zw,0.0037994722,0.0
2023-09-20,ECO.zw,0.0035438235,-0.0123380629241208
2023-09-20,OKZ.zw,0.0038660238,0.0124921923797625
2023-09-20,SEED.zw,0.0036384761,0.0
2023-09-21,AFDIS.zw,0.0039969627,0.0
2023-09-21,BAT.zw,0.0038857327,0.1187538556446639
2023-09-21,CAFCA.zw,0.003495691,0.0
2023-09-21,CBZ.zw,0.014549778,-0.1171767300799559
2023-09-21,DLTA.zw,0.0037341125,0.132729544034978
2023-09-21,DZL.zw,0.009013804,0.0
2023-09-21,ECO.zw,0.012153268,-0.0002757099531294
